StratumID,DistributionTypeID,ExternalVariableTypeID,ExternalVariableMin,ExternalVariableMax,Amount
Coast Range,Ag Expansion: Pasture,Ag Change,2001,2006,40
Puget Lowland,Ag Expansion: Pasture,Ag Change,2001,2006,140
Willamette Valley,Ag Expansion: Pasture,Ag Change,2001,2006,100
Cascades,Ag Expansion: Pasture,Ag Change,2001,2006,40
Sierra Nevada,Ag Expansion: Pasture,Ag Change,2001,2006,0
Central California Foothills and Coastal Mountains,Ag Expansion: Pasture,Ag Change,2001,2006,80
Central California Valley,Ag Expansion: Pasture,Ag Change,2001,2006,160
Southern California Mountains,Ag Expansion: Pasture,Ag Change,2001,2006,0
Eastern Cascades Slopes and Foothills,Ag Expansion: Pasture,Ag Change,2001,2006,160
Columbia Plateau,Ag Expansion: Pasture,Ag Change,2001,2006,240
Blue Mountains,Ag Expansion: Pasture,Ag Change,2001,2006,80
Snake River Plain,Ag Expansion: Pasture,Ag Change,2001,2006,140
Central Basin and Range,Ag Expansion: Pasture,Ag Change,2001,2006,220
Mojave Basin and Range,Ag Expansion: Pasture,Ag Change,2001,2006,20
Northern Rockies,Ag Expansion: Pasture,Ag Change,2001,2006,220
Idaho Batholith,Ag Expansion: Pasture,Ag Change,2001,2006,0
Middle Rockies,Ag Expansion: Pasture,Ag Change,2001,2006,320
Wyoming Basin,Ag Expansion: Pasture,Ag Change,2001,2006,420
Wasatch and Uinta Mountains,Ag Expansion: Pasture,Ag Change,2001,2006,60
Colorado Plateaus,Ag Expansion: Pasture,Ag Change,2001,2006,200
Southern Rockies,Ag Expansion: Pasture,Ag Change,2001,2006,140
Arizona/New Mexico Plateau,Ag Expansion: Pasture,Ag Change,2001,2006,300
Arizona/New Mexico Mountains,Ag Expansion: Pasture,Ag Change,2001,2006,0
Chihuahuan Deserts,Ag Expansion: Pasture,Ag Change,2001,2006,0
High Plains,Ag Expansion: Pasture,Ag Change,2001,2006,940
Southwestern Tablelands,Ag Expansion: Pasture,Ag Change,2001,2006,60
Central Great Plains,Ag Expansion: Pasture,Ag Change,2001,2006,280
Flint Hills,Ag Expansion: Pasture,Ag Change,2001,2006,40
Cross Timbers,Ag Expansion: Pasture,Ag Change,2001,2006,260
Edwards Plateau,Ag Expansion: Pasture,Ag Change,2001,2006,0
Southern Texas Plains,Ag Expansion: Pasture,Ag Change,2001,2006,220
Texas Blackland Prairies,Ag Expansion: Pasture,Ag Change,2001,2006,980
East Central Texas Plains,Ag Expansion: Pasture,Ag Change,2001,2006,1440
Western Gulf Coastal Plain,Ag Expansion: Pasture,Ag Change,2001,2006,660
South Central Plains,Ag Expansion: Pasture,Ag Change,2001,2006,1500
Ouachita Mountains,Ag Expansion: Pasture,Ag Change,2001,2006,180
Arkansas Valley,Ag Expansion: Pasture,Ag Change,2001,2006,320
Boston Mountains,Ag Expansion: Pasture,Ag Change,2001,2006,220
Ozark Highlands,Ag Expansion: Pasture,Ag Change,2001,2006,1020
Central Irregular Plains,Ag Expansion: Pasture,Ag Change,2001,2006,1620
Canadian Rockies,Ag Expansion: Pasture,Ag Change,2001,2006,0
Northwestern Glaciated Plains,Ag Expansion: Pasture,Ag Change,2001,2006,1640
Northwestern Great Plains,Ag Expansion: Pasture,Ag Change,2001,2006,1220
Nebraska Sand Hills,Ag Expansion: Pasture,Ag Change,2001,2006,240
Piedmont,Ag Expansion: Pasture,Ag Change,2001,2006,2180
Northern Glaciated Plains,Ag Expansion: Pasture,Ag Change,2001,2006,2380
Western Corn Belt Plains,Ag Expansion: Pasture,Ag Change,2001,2006,2240
Lake Agassiz Plain,Ag Expansion: Pasture,Ag Change,2001,2006,760
Northern Minnesota Wetlands,Ag Expansion: Pasture,Ag Change,2001,2006,640
Northern Lakes and Forests,Ag Expansion: Pasture,Ag Change,2001,2006,1980
North Central Hardwood Forests,Ag Expansion: Pasture,Ag Change,2001,2006,1820
Driftless Area,Ag Expansion: Pasture,Ag Change,2001,2006,380
Southeastern Wisconsin Till Plains,Ag Expansion: Pasture,Ag Change,2001,2006,520
Central Corn Belt Plains,Ag Expansion: Pasture,Ag Change,2001,2006,80
Eastern Corn Belt Plains,Ag Expansion: Pasture,Ag Change,2001,2006,180
Southern Michigan/Northern Indiana Drift Plains,Ag Expansion: Pasture,Ag Change,2001,2006,140
Huron/Erie Lake Plains,Ag Expansion: Pasture,Ag Change,2001,2006,60
Northeastern Highlands,Ag Expansion: Pasture,Ag Change,2001,2006,600
Northeastern Coastal Zone,Ag Expansion: Pasture,Ag Change,2001,2006,660
Northern Allegheny Plateau,Ag Expansion: Pasture,Ag Change,2001,2006,700
Erie Drift Plain,Ag Expansion: Pasture,Ag Change,2001,2006,140
North Central Appalachians,Ag Expansion: Pasture,Ag Change,2001,2006,80
Middle Atlantic Coastal Plain,Ag Expansion: Pasture,Ag Change,2001,2006,60
Northern Piedmont,Ag Expansion: Pasture,Ag Change,2001,2006,220
Southeastern Plains,Ag Expansion: Pasture,Ag Change,2001,2006,3400
Blue Ridge,Ag Expansion: Pasture,Ag Change,2001,2006,220
Ridge and Valley,Ag Expansion: Pasture,Ag Change,2001,2006,1520
Southwestern Appalachians,Ag Expansion: Pasture,Ag Change,2001,2006,420
Central Appalachians,Ag Expansion: Pasture,Ag Change,2001,2006,320
Western Allegheny Plateau,Ag Expansion: Pasture,Ag Change,2001,2006,940
Interior Plateau,Ag Expansion: Pasture,Ag Change,2001,2006,1820
Interior River Valleys and Hills,Ag Expansion: Pasture,Ag Change,2001,2006,380
Mississippi Alluvial Plain,Ag Expansion: Pasture,Ag Change,2001,2006,200
Mississippi Valley Loess Plains,Ag Expansion: Pasture,Ag Change,2001,2006,800
Southern Coastal Plain,Ag Expansion: Pasture,Ag Change,2001,2006,3600
Southern Florida Coastal Plain,Ag Expansion: Pasture,Ag Change,2001,2006,20
North Cascades,Ag Expansion: Pasture,Ag Change,2001,2006,0
Klamath Mountains/California High North Coast Range,Ag Expansion: Pasture,Ag Change,2001,2006,20
Madrean Archipelago,Ag Expansion: Pasture,Ag Change,2001,2006,0
Northern Basin and Range,Ag Expansion: Pasture,Ag Change,2001,2006,80
Sonoran Basin and Range,Ag Expansion: Pasture,Ag Change,2001,2006,40
Acadian Plains and Hills,Ag Expansion: Pasture,Ag Change,2001,2006,40
Eastern Great Lakes Lowlands,Ag Expansion: Pasture,Ag Change,2001,2006,1200
Atlantic Coastal Pine Barrens,Ag Expansion: Pasture,Ag Change,2001,2006,0
Southern California/Northern Baja Coast,Ag Expansion: Pasture,Ag Change,2001,2006,100
Coast Range,Ag Expansion: Pasture,Ag Change,2007,2011,80
Puget Lowland,Ag Expansion: Pasture,Ag Change,2007,2011,160
Willamette Valley,Ag Expansion: Pasture,Ag Change,2007,2011,140
Cascades,Ag Expansion: Pasture,Ag Change,2007,2011,20
Sierra Nevada,Ag Expansion: Pasture,Ag Change,2007,2011,0
Central California Foothills and Coastal Mountains,Ag Expansion: Pasture,Ag Change,2007,2011,20
Central California Valley,Ag Expansion: Pasture,Ag Change,2007,2011,160
Southern California Mountains,Ag Expansion: Pasture,Ag Change,2007,2011,0
Eastern Cascades Slopes and Foothills,Ag Expansion: Pasture,Ag Change,2007,2011,120
Columbia Plateau,Ag Expansion: Pasture,Ag Change,2007,2011,300
Blue Mountains,Ag Expansion: Pasture,Ag Change,2007,2011,120
Snake River Plain,Ag Expansion: Pasture,Ag Change,2007,2011,40
Central Basin and Range,Ag Expansion: Pasture,Ag Change,2007,2011,200
Mojave Basin and Range,Ag Expansion: Pasture,Ag Change,2007,2011,0
Northern Rockies,Ag Expansion: Pasture,Ag Change,2007,2011,120
Idaho Batholith,Ag Expansion: Pasture,Ag Change,2007,2011,20
Middle Rockies,Ag Expansion: Pasture,Ag Change,2007,2011,260
Wyoming Basin,Ag Expansion: Pasture,Ag Change,2007,2011,100
Wasatch and Uinta Mountains,Ag Expansion: Pasture,Ag Change,2007,2011,0
Colorado Plateaus,Ag Expansion: Pasture,Ag Change,2007,2011,180
Southern Rockies,Ag Expansion: Pasture,Ag Change,2007,2011,60
Arizona/New Mexico Plateau,Ag Expansion: Pasture,Ag Change,2007,2011,200
Arizona/New Mexico Mountains,Ag Expansion: Pasture,Ag Change,2007,2011,0
Chihuahuan Deserts,Ag Expansion: Pasture,Ag Change,2007,2011,0
High Plains,Ag Expansion: Pasture,Ag Change,2007,2011,2120
Southwestern Tablelands,Ag Expansion: Pasture,Ag Change,2007,2011,140
Central Great Plains,Ag Expansion: Pasture,Ag Change,2007,2011,840
Flint Hills,Ag Expansion: Pasture,Ag Change,2007,2011,220
Cross Timbers,Ag Expansion: Pasture,Ag Change,2007,2011,220
Edwards Plateau,Ag Expansion: Pasture,Ag Change,2007,2011,0
Southern Texas Plains,Ag Expansion: Pasture,Ag Change,2007,2011,60
Texas Blackland Prairies,Ag Expansion: Pasture,Ag Change,2007,2011,920
East Central Texas Plains,Ag Expansion: Pasture,Ag Change,2007,2011,1580
Western Gulf Coastal Plain,Ag Expansion: Pasture,Ag Change,2007,2011,1160
South Central Plains,Ag Expansion: Pasture,Ag Change,2007,2011,3280
Ouachita Mountains,Ag Expansion: Pasture,Ag Change,2007,2011,520
Arkansas Valley,Ag Expansion: Pasture,Ag Change,2007,2011,400
Boston Mountains,Ag Expansion: Pasture,Ag Change,2007,2011,240
Ozark Highlands,Ag Expansion: Pasture,Ag Change,2007,2011,1380
Central Irregular Plains,Ag Expansion: Pasture,Ag Change,2007,2011,2340
Canadian Rockies,Ag Expansion: Pasture,Ag Change,2007,2011,0
Northwestern Glaciated Plains,Ag Expansion: Pasture,Ag Change,2007,2011,2440
Northwestern Great Plains,Ag Expansion: Pasture,Ag Change,2007,2011,1380
Nebraska Sand Hills,Ag Expansion: Pasture,Ag Change,2007,2011,80
Piedmont,Ag Expansion: Pasture,Ag Change,2007,2011,3120
Northern Glaciated Plains,Ag Expansion: Pasture,Ag Change,2007,2011,1800
Western Corn Belt Plains,Ag Expansion: Pasture,Ag Change,2007,2011,1040
Lake Agassiz Plain,Ag Expansion: Pasture,Ag Change,2007,2011,440
Northern Minnesota Wetlands,Ag Expansion: Pasture,Ag Change,2007,2011,360
Northern Lakes and Forests,Ag Expansion: Pasture,Ag Change,2007,2011,820
North Central Hardwood Forests,Ag Expansion: Pasture,Ag Change,2007,2011,380
Driftless Area,Ag Expansion: Pasture,Ag Change,2007,2011,740
Southeastern Wisconsin Till Plains,Ag Expansion: Pasture,Ag Change,2007,2011,100
Central Corn Belt Plains,Ag Expansion: Pasture,Ag Change,2007,2011,180
